Material;DataHora;Estoque;Custo_Unitario;Custo_Total
Soro Fisiológico;2024-08-19 09:00:00;278;2,95;820,1
Álcool 70%;2024-07-11 03:00:00;403;2;806
Máscaras N95;2024-11-21 15:00:00;297;4,62;1372,14
Algodão;2024-08-03 09:00:00;522;0,25;130,5
Dipirona;2024-11-27 15:00:00;517;1,32;682,44
Álcool 70%;2024-12-04 21:00:00;532;2;1064
Álcool 70%;2024-01-08 03:00:00;61;2,04;124,44
Dipirona;2024-09-23 12:00:00;490;1,31;641,9
Álcool 70%;2024-08-25 15:00:00;482;2,03;978,46
Soro Fisiológico;2024-04-13 21:00:00;231;2,98;688,38
Álcool 70%;2024-12-09 15:00:00;574;2,03;1165,22
Adrenalina;2024-09-30 12:00:00;229;5,1;1167,9
Seringas;2024-10-27 18:00:00;276;0,46;126,96
Adrenalina;2024-11-12 06:00:00;398;4,95;1970,1
Luvas Cirúrgicas;2024-12-30 15:00:00;77;0,92;70,84
Algodão;2024-04-11 21:00:00;149;0,25;37,25
Soro Fisiológico;2024-03-06 21:00:00;382;2,98;1138,36
Paracetamol;2024-12-13 00:00:00;503;1,5;754,5
Gaze Estéril;2024-02-22 21:00:00;292;0,4;116,8
Luvas Cirúrgicas;2024-09-01 09:00:00;143;0,92;131,56
Algodão;2024-04-05 06:00:00;589;0,25;147,25
Algodão;2024-01-16 18:00:00;239;0,25;59,75
Soro Fisiológico;2024-11-25 12:00:00;;3;1002
Adrenalina;2024-06-15 15:00:00;120;5,06;607,2
Luvas Cirúrgicas;2024-09-09 09:00:00;371;0,84;311,64
Gaze Estéril;2024-01-03 09:00:00;307;0,39;119,73
Dipirona;2024-11-26 15:00:00;476;1,31;623,56
Adrenalina;2024-02-04 21:00:00;281;4,97;1396,57
Gaze Estéril;2024-02-09 09:00:00;293;0,4;117,2
Soro Fisiológico;2024-08-09 03:00:00;235;2,97;697,95
Dipirona;2024-10-16 21:00:00;499;1,29;643,71
Gaze Estéril;2024-03-23 03:00:00;291;0,4;116,4
Dipirona;2024-05-11 15:00:00;498;1,28;637,44
Soro Fisiológico;2024-10-14 15:00:00;323;3;969
Máscaras N95;2024-07-04 15:00:00;297;4,45;1321,65
Máscaras N95;2024-12-15 03:00:00;276;4,02;1109,52
Seringas;2024-09-09 21:00:00;455;0,45;204,75
Luvas Cirúrgicas;2024-06-29 18:00:00;237;0,86;203,82
Paracetamol;2024-09-28 12:00:00;488;1,5;732
Álcool 70%;2024-04-28 09:00:00;491;1,97;967,27
Adrenalina;2024-12-23 18:00:00;255;5,02;1280,1
Adrenalina;2024-07-18 12:00:00;324;4,94;1600,56
Seringas;2024-04-24 03:00:00;158;0,56;88,48
Dipirona;2024-10-10 15:00:00;472;1,29;608,88
Máscaras N95;2024-01-29 03:00:00;326;4,23;1378,98
Luvas Cirúrgicas;2024-07-06 06:00:00;59;0,8;47,2
Soro Fisiológico;2024-12-26 21:00:00;430;3,02;1298,6
Álcool 70%;2024-02-10 18:00:00;73;2,02;147,46
Seringas;2024-06-18 09:00:00;187;0,54;100,98
Álcool 70%;2024-08-11 21:00:00;521;2,02;1052,42
Gaze Estéril;2024-03-11 03:00:00;301;0,4;120,4
Gaze Estéril;2024-01-06 09:00:00;289;0,4;115,6
Álcool 70%;2024-05-25 21:00:00;110;2,03;223,3
Gaze Estéril;2024-04-06 09:00:00;312;0,4;124,8
Gaze Estéril;2024-07-30 21:00:00;277;0,39;108,03
Dipirona;2024-04-20 03:00:00;488;1,32;644,16
Álcool 70%;2024-12-13 09:00:00;253;1,98;500,94
Soro Fisiológico;2024-06-10 21:00:00;173;2,94;508,62
Luvas Cirúrgicas;2024-04-07 00:00:00;329;0,74;243,46
Máscaras N95;2024-03-28 03:00:00;309;3,85;1189,65
Gaze Estéril;2024-03-12 09:00:00;296;0,4;118,4
Dipirona;2024-11-22 21:00:00;484;1,3;629,2
Gaze Estéril;2024-09-12 09:00:00;316;0,4;126,4
Seringas;2024-05-10 03:00:00;277;0,46;127,42
Luvas Cirúrgicas;2024-01-20 00:00:00;15;0,9;13,5
Gaze Estéril;2024-07-04 03:00:00;299;0,4;119,6
Seringas;2024-04-19 21:00:00;301;0,57;171,57
Soro Fisiológico;2024-07-21 03:00:00;278;3,01;836,78
Álcool 70%;2024-07-12 18:00:00;305;1,99;606,95
Gaze Estéril;2024-02-26 09:00:00;309;0,41;126,69
Gaze Estéril;2024-11-25 15:00:00;289;0,4;115,6
Gaze Estéril;2024-12-19 12:00:00;291;0,4;116,4
Máscaras N95;2024-01-11 15:00:00;302;4,17;1259,34
Máscaras N95;2024-05-25 18:00:00;292;4,13;1205,96
Adrenalina;2024-12-27 03:00:00;244;5;1220
Paracetamol;2024-06-22 00:00:00;510;1,5;765
Gaze Estéril;2024-12-11 00:00:00;324;0,4;129,6
Soro Fisiológico;2024-02-01 12:00:00;429;2,96;1269,84
Gaze Estéril;2024-08-06 00:00:00;307;0,41;125,87
Luvas Cirúrgicas;2024-06-21 21:00:00;225;0,85;191,25
Paracetamol;2024-02-07 03:00:00;475;1,48;703
Adrenalina;2024-12-13 09:00:00;426;4,97;2117,22
Álcool 70%;2024-06-03 06:00:00;503;2;1006
Algodão;2024-01-21 21:00:00;146;0,25;36,5
Dipirona;2024-04-27 09:00:00;526;1,32;694,32
Algodão;2024-01-17 15:00:00;124;0,25;31
Paracetamol;2024-09-16 15:00:00;497;1,5;745,5
Seringas;2024-02-18 15:00:00;448;0,51;228,48
Seringas;2024-05-09 09:00:00;172;0,45;77,4
Luvas Cirúrgicas;2024-11-08 03:00:00;551;0,71;391,21
Álcool 70%;2024-11-15 18:00:00;521;2,04;1062,84
Máscaras N95;2024-05-10 15:00:00;287;4,11;1179,57
Seringas;2024-03-13 00:00:00;447;0,49;219,03
Máscaras N95;2024-07-26 06:00:00;291;5,16;1501,56
Paracetamol;2024-11-13 03:00:00;497;1,52;755,44
Seringas;2024-08-30 06:00:00;217;0,57;123,69
Seringas;2024-08-07 09:00:00;357;0,5;178,5
Adrenalina;2024-07-07 06:00:00;507;4,94;2504,58
Adrenalina;2024-04-07 12:00:00;192;5,04;967,68
Adrenalina;2024-07-24 06:00:00;373;4,94;1842,62
Luvas Cirúrgicas;2024-08-09 06:00:00;808;0,69;557,52
Soro Fisiológico;2024-01-29 03:00:00;234;2,96;692,64
Álcool 70%;2024-07-17 18:00:00;341;2,04;695,64
Máscaras N95;2024-12-23 06:00:00;292;5,15;1503,8
Adrenalina;2024-03-28 03:00:00;425;4,97;2112,25
Soro Fisiológico;2024-09-05 06:00:00;283;2,96;837,68
Seringas;2024-07-05 09:00:00;164;0,5;82
Gaze Estéril;2024-06-23 03:00:00;284;0,39;110,76
Gaze Estéril;2024-05-28 12:00:00;323;0,4;129,2
Dipirona;2024-08-03 18:00:00;477;1,28;610,56
Paracetamol;2024-02-10 00:00:00;487;1,51;735,37
Adrenalina;2024-06-08 21:00:00;183;4,91;898,53
Máscaras N95;2024-01-24 09:00:00;306;4,43;1355,58
Luvas Cirúrgicas;2024-02-04 00:00:00;96;0,84;80,64
Paracetamol;2024-11-27 18:00:00;478;1,52;726,56
Luvas Cirúrgicas;2024-02-23 18:00:00;125;0,78;97,5
Luvas Cirúrgicas;2024-09-08 03:00:00;403;0,7;282,1
Máscaras N95;2024-10-03 18:00:00;287;5,16;1480,92
Paracetamol;2024-04-20 18:00:00;483;1,49;719,67
Dipirona;2024-09-16 06:00:00;486;1,29;626,94
Algodão;2024-06-09 18:00:00;566;0,25;141,5
Álcool 70%;2024-03-15 06:00:00;376;2;752
Seringas;2024-11-29 18:00:00;87;0,46;40,02
Paracetamol;2024-01-31 12:00:00;493;1,52;749,36
Seringas;2024-01-15 18:00:00;137;0,44;60,28
Adrenalina;2024-10-20 21:00:00;397;5,05;2004,85
Seringas;2024-08-23 21:00:00;238;0,55;130,9
Adrenalina;2024-01-16 21:00:00;313;4,9;1533,7
Paracetamol;2024-10-22 09:00:00;510;1,53;780,3
Gaze Estéril;2024-10-05 03:00:00;297;0,4;118,8
Seringas;2024-08-22 03:00:00;204;0,43;87,72
Paracetamol;2024-05-25 03:00:00;502;1,47;737,94
Máscaras N95;2024-03-31 09:00:00;315;4,95;1559,25
Álcool 70%;2024-12-07 12:00:00;114;2,01;229,14
Gaze Estéril;2024-08-18 03:00:00;305;0,39;118,95
Paracetamol;2024-02-05 21:00:00;541;1,48;800,68
Luvas Cirúrgicas;2024-08-30 06:00:00;200;0,88;176
Gaze Estéril;2024-12-11 06:00:00;278;0,41;113,98
Gaze Estéril;2024-05-29 12:00:00;283;0,41;116,03
Soro Fisiológico;2024-06-09 12:00:00;135;3,01;406,35
Soro Fisiológico;2024-08-25 00:00:00;470;3,03;1424,1
Luvas Cirúrgicas;2024-04-02 06:00:00;141;0,77;108,57
Algodão;2024-06-15 06:00:00;481;0,25;120,25
Adrenalina;2024-12-19 03:00:00;111;4,91;545,01
Paracetamol;2024-05-26 06:00:00;482;1,51;727,82
Álcool 70%;2024-05-13 09:00:00;523;1,99;1040,77
Soro Fisiológico;2024-07-17 18:00:00;290;3,02;875,8
Álcool 70%;2024-08-15 18:00:00;218;2,01;438,18
Gaze Estéril;2024-11-12 03:00:00;297;0,39;115,83
Adrenalina;2024-04-27 00:00:00;256;5,02;1285,12
Algodão;2024-08-09 06:00:00;518;0,25;129,5
Álcool 70%;2024-02-23 00:00:00;490;2,01;984,9
Máscaras N95;2024-03-25 09:00:00;301;4,44;1336,44
Paracetamol;2024-02-04 15:00:00;494;1,51;745,94
Algodão;2024-03-01 18:00:00;426;0,25;106,5
Seringas;2024-06-12 06:00:00;301;0,57;171,57
Álcool 70%;2024-12-31 15:00:00;530;2,02;1070,6
Dipirona;2024-01-25 03:00:00;508;1,31;665,48
Adrenalina;2024-12-06 09:00:00;313;5,04;1577,52
Máscaras N95;2024-01-16 21:00:00;291;4,27;1242,57
Seringas;2024-12-13 00:00:00;404;0,48;193,92
Adrenalina;2024-11-06 09:00:00;404;4,9;1979,6
Dipirona;2024-02-29 18:00:00;532;1,28;680,96
Gaze Estéril;2024-10-10 18:00:00;288;0,39;112,32
Seringas;2024-04-14 09:00:00;559;0,53;296,27
Luvas Cirúrgicas;2024-09-25 15:00:00;414;0,8;331,2
Algodão;2024-12-02 09:00:00;320;0,25;80
Luvas Cirúrgicas;2024-06-26 00:00:00;255;0,79;201,45
Paracetamol;2024-04-26 09:00:00;504;1,5;756
Paracetamol;2024-03-27 09:00:00;485;1,49;722,65
Algodão;2024-03-19 00:00:00;319;0,25;79,75
Adrenalina;2024-03-04 12:00:00;254;5,01;1272,54
Máscaras N95;2024-03-31 15:00:00;314;4,6;1444,4
Soro Fisiológico;2024-01-30 15:00:00;208;2,97;617,76
Soro Fisiológico;2024-07-05 03:00:00;221;3,05;674,05
Gaze Estéril;2024-02-26 18:00:00;324;0,41;132,84
Álcool 70%;2024-10-04 03:00:00;118;2,01;237,18
Seringas;2024-08-11 12:00:00;163;0,55;89,65
Máscaras N95;2024-12-10 09:00:00;327;4,06;1327,62
Soro Fisiológico;2024-02-14 15:00:00;218;2,96;645,28
Adrenalina;2024-06-05 12:00:00;376;5,04;1895,04
Soro Fisiológico;2024-01-24 21:00:00;378;2,99;1130,22
Dipirona;2024-06-22 21:00:00;513;1,31;672,03
Dipirona;2024-01-05 15:00:00;486;1,31;636,66
Dipirona;2024-05-10 03:00:00;501;1,29;646,29
Dipirona;2024-09-06 18:00:00;510;1,32;673,2
Algodão;2024-03-02 18:00:00;363;0,25;90,75
Luvas Cirúrgicas;2024-12-29 00:00:00;449;0,86;386,14
Luvas Cirúrgicas;2024-10-09 09:00:00;592;0,91;538,72
Gaze Estéril;2024-10-01 12:00:00;300;0,4;120
Gaze Estéril;2024-01-06 21:00:00;299;0,4;119,6
Dipirona;2024-01-21 12:00:00;474;1,28;606,72
Gaze Estéril;2024-03-16 03:00:00;333;0,4;133,2
Luvas Cirúrgicas;2024-05-09 12:00:00;60;0,69;41,4
Gaze Estéril;2024-06-29 09:00:00;304;0,4;121,6
Gaze Estéril;2024-11-16 00:00:00;284;0,4;113,6
Seringas;2024-05-23 18:00:00;312;0,49;152,88
Luvas Cirúrgicas;2024-04-10 09:00:00;604;0,77;465,08
Dipirona;2024-05-11 18:00:00;498;1,28;637,44
Algodão;2024-04-09 15:00:00;88;0,25;22
Paracetamol;2024-06-24 12:00:00;514;1,49;765,86
Máscaras N95;2024-09-08 09:00:00;296;4,7;1391,2
Adrenalina;2024-02-03 12:00:00;448;5,04;2257,92
Paracetamol;2024-05-16 18:00:00;562;1,49;837,38
Seringas;2024-12-05 03:00:00;105;0,55;57,75
Gaze Estéril;2024-08-11 15:00:00;314;0,4;125,6
Gaze Estéril;2024-10-30 21:00:00;314;0,4;125,6
Seringas;2024-06-15 12:00:00;204;0,56;114,24
Paracetamol;2024-12-21 09:00:00;532;1,51;803,32
Máscaras N95;2024-07-27 09:00:00;302;3,86;1165,72
Dipirona;2024-08-23 21:00:00;527;1,28;674,56
Seringas;2024-08-17 03:00:00;158;0,49;77,42
Adrenalina;2024-01-13 12:00:00;367;5,06;1857,02
Algodão;2024-12-25 09:00:00;218;0,25;54,5
Gaze Estéril;2024-02-14 21:00:00;315;0,41;129,15
Algodão;2024-05-25 09:00:00;543;0,25;135,75
Luvas Cirúrgicas;2024-07-26 18:00:00;119;0,73;86,87
Álcool 70%;2024-01-03 00:00:00;459;2,03;931,77
Máscaras N95;2024-03-16 15:00:00;308;4,45;1370,6
Álcool 70%;2024-02-20 03:00:00;581;2,04;1185,24
Máscaras N95;2024-04-19 09:00:00;317;4,47;1416,99
Luvas Cirúrgicas;2024-07-02 09:00:00;540;0,76;410,4
Gaze Estéril;2024-12-08 06:00:00;295;0,4;118
Luvas Cirúrgicas;2024-03-02 15:00:00;411;0,91;374,01
Máscaras N95;2024-03-30 18:00:00;301;4,11;1237,11
Luvas Cirúrgicas;2024-12-02 21:00:00;269;0,92;247,48
Dipirona;2024-08-07 18:00:00;500;1,31;655
Máscaras N95;2024-05-23 06:00:00;275;4,18;1149,5
Dipirona;2024-09-06 06:00:00;487;1,29;628,23
Seringas;2024-05-29 03:00:00;157;0,57;89,49
Adrenalina;2024-04-26 03:00:00;401;5,1;2045,1
Adrenalina;2024-01-03 15:00:00;273;4,97;1356,81
Soro Fisiológico;2024-04-05 12:00:00;339;2,96;1003,44
Seringas;2024-08-15 09:00:00;167;0,56;93,52
Paracetamol;2024-10-20 03:00:00;459;1,53;702,27
Gaze Estéril;2024-10-18 21:00:00;301;0,39;117,39
Adrenalina;2024-11-17 18:00:00;462;5,05;2333,1
Dipirona;2024-07-26 06:00:00;507;1,29;654,03
Algodão;2024-10-22 15:00:00;274;0,25;68,5
Luvas Cirúrgicas;2024-12-26 15:00:00;1039;0,83;862,37
Álcool 70%;2024-11-06 03:00:00;263;2,02;531,26
Algodão;2024-01-22 18:00:00;340;0,25;85
Adrenalina;2024-11-11 06:00:00;430;4,97;2137,1
Álcool 70%;2024-01-27 00:00:00;338;2,02;682,76
Máscaras N95;2024-02-16 03:00:00;275;4,02;1105,5
Gaze Estéril;2024-08-08 06:00:00;279;0,41;114,39
Álcool 70%;2024-02-28 03:00:00;118;1,99;234,82
Adrenalina;2024-02-12 15:00:00;491;4,94;2425,54
Luvas Cirúrgicas;2024-06-22 03:00:00;260;0,7;182
Luvas Cirúrgicas;2024-12-09 00:00:00;52;0,88;45,76
Seringas;2024-03-08 09:00:00;380;0,49;186,2
Adrenalina;2024-03-09 03:00:00;428;4,97;2127,16
Dipirona;2024-12-11 21:00:00;510;1,28;652,8
Dipirona;2024-01-02 15:00:00;484;1,28;619,52
Algodão;2024-03-12 00:00:00;376;0,25;94
Álcool 70%;2024-09-14 09:00:00;176;2,02;355,52
Adrenalina;2024-07-09 15:00:00;291;5;1455
Álcool 70%;2024-01-08 15:00:00;181;1,99;360,19
Máscaras N95;2024-02-24 12:00:00;336;4,35;1461,6
Luvas Cirúrgicas;2024-09-22 06:00:00;281;0,9;252,9
Dipirona;2024-11-27 06:00:00;507;1,3;659,1
Soro Fisiológico;2024-07-13 06:00:00;233;2,99;696,67
Soro Fisiológico;2024-05-31 03:00:00;293;2,97;870,21
Adrenalina;2024-09-13 03:00:00;269;5,04;1355,76
Algodão;2024-06-07 18:00:00;236;0,25;59
Álcool 70%;2024-01-03 18:00:00;239;2,02;482,78
Paracetamol;2024-05-11 00:00:00;468;1,49;697,32
Adrenalina;2024-04-25 18:00:00;197;4,98;981,06
Luvas Cirúrgicas;2024-04-28 18:00:00;233;0,87;202,71
Álcool 70%;2024-05-30 21:00:00;519;1,97;1022,43
Álcool 70%;2024-11-21 12:00:00;452;1,98;894,96
Paracetamol;2024-07-20 03:00:00;477;1,49;710,73
Máscaras N95;2024-08-27 00:00:00;303;4,27;1293,81
Paracetamol;2024-10-28 21:00:00;543;1,51;819,93
Paracetamol;2024-09-09 03:00:00;504;1,5;756
Dipirona;2024-01-06 09:00:00;493;1,32;650,76
Luvas Cirúrgicas;2024-03-16 15:00:00;109;0,79;86,11
Luvas Cirúrgicas;2024-10-17 18:00:00;161;0,91;146,51
Luvas Cirúrgicas;2024-08-19 21:00:00;449;0,89;399,61
Dipirona;2024-01-01 09:00:00;533;1,28;682,24
Seringas;2024-04-05 18:00:00;279;0,46;128,34
Álcool 70%;2024-03-02 21:00:00;556;1,96;1089,76
Máscaras N95;2024-09-14 18:00:00;296;4,41;1305,36
Seringas;2024-08-21 12:00:00;173;0,47;81,31
Seringas;2024-12-22 06:00:00;229;0,48;109,92
Luvas Cirúrgicas;2024-06-10 03:00:00;223;0,7;156,1
Paracetamol;2024-08-14 18:00:00;547;1,49;815,03
Luvas Cirúrgicas;2024-12-25 06:00:00;247;0,8;197,6
Luvas Cirúrgicas;2024-12-08 00:00:00;142;0,91;129,22
Álcool 70%;2024-08-11 03:00:00;512;2,03;1039,36
Soro Fisiológico;2024-12-09 15:00:00;162;3,05;494,1
Paracetamol;2024-09-22 09:00:00;511;1,49;761,39
Luvas Cirúrgicas;2024-09-06 00:00:00;91;0,7;63,7
Gaze Estéril;2024-07-09 06:00:00;298;0,4;119,2
Algodão;2024-07-01 18:00:00;256;0,25;64
Álcool 70%;2024-11-13 21:00:00;78;2,02;157,56
Álcool 70%;2024-10-15 03:00:00;470;1,99;935,3
Máscaras N95;2024-05-06 15:00:00;320;4,66;1491,2
Máscaras N95;2024-12-24 09:00:00;308;4,8;1478,4
Máscaras N95;2024-01-05 00:00:00;295;4,72;1392,4
Adrenalina;2024-08-18 15:00:00;308;5;1540
Algodão;2024-10-17 00:00:00;81;0,25;20,25
Seringas;2024-11-04 15:00:00;541;0,44;238,04
Gaze Estéril;2024-12-23 00:00:00;308;0,4;123,2
Soro Fisiológico;2024-02-18 06:00:00;123;3,01;370,23
Paracetamol;2024-04-11 00:00:00;502;1,49;747,98
Algodão;2024-01-26 21:00:00;581;0,25;145,25
Gaze Estéril;2024-04-27 18:00:00;294;0,4;117,6
Álcool 70%;2024-09-24 09:00:00;354;1,97;697,38
Algodão;2024-05-20 06:00:00;441;0,25;110,25
Dipirona;2024-09-04 06:00:00;490;1,32;646,8
Dipirona;2024-04-09 06:00:00;467;1,28;597,76
Álcool 70%;2024-07-18 18:00:00;75;1,98;148,5
Luvas Cirúrgicas;2024-06-25 06:00:00;172;0,86;147,92
Luvas Cirúrgicas;2024-05-07 18:00:00;668;0,87;581,16
Dipirona;2024-05-09 06:00:00;503;1,28;643,84
Algodão;2024-11-05 21:00:00;237;0,25;59,25
Paracetamol;2024-11-29 21:00:00;455;1,51;687,05
Algodão;2024-01-03 21:00:00;533;0,25;133,25
Soro Fisiológico;2024-03-20 03:00:00;225;2,94;661,5
Máscaras N95;2024-03-13 12:00:00;310;4,14;1283,4
Dipirona;2024-07-22 00:00:00;507;1,29;654,03
Seringas;2024-10-20 21:00:00;267;0,49;130,83
Adrenalina;2024-01-20 03:00:00;347;5,08;1762,76
Máscaras N95;2024-02-02 21:00:00;295;4,46;1315,7
Máscaras N95;2024-09-11 03:00:00;309;4,39;1356,51
Dipirona;2024-12-17 03:00:00;508;1,29;655,32
Adrenalina;2024-11-23 21:00:00;346;5,01;1733,46
Máscaras N95;2024-04-18 15:00:00;298;4,25;1266,5
Dipirona;2024-01-30 12:00:00;510;1,29;657,9
Algodão;2024-05-30 12:00:00;350;0,25;87,5
Adrenalina;2024-04-23 09:00:00;489;5,01;2449,89
Álcool 70%;2024-12-12 18:00:00;500;1,98;990
Paracetamol;2024-07-26 03:00:00;501;1,52;761,52
Álcool 70%;2024-08-15 21:00:00;428;1,99;851,72
Máscaras N95;2024-07-09 18:00:00;310;4,5;1395
Álcool 70%;2024-08-11 18:00:00;456;1,96;893,76
Adrenalina;2024-07-30 15:00:00;235;4,91;1153,85
Dipirona;2024-06-16 06:00:00;485;1,32;640,2
Álcool 70%;2024-05-13 00:00:00;434;1,99;863,66
Gaze Estéril;2024-11-21 09:00:00;305;0,41;125,05
Seringas;2024-09-27 18:00:00;261;0,57;148,77
Álcool 70%;2024-11-02 00:00:00;403;2,01;810,03
Dipirona;2024-10-25 12:00:00;495;1,31;648,45
Soro Fisiológico;2024-04-21 03:00:00;283;2,95;834,85
Máscaras N95;2024-07-26 15:00:00;315;3,84;1209,6
Máscaras N95;2024-12-26 06:00:00;289;4,66;1346,74
Álcool 70%;2024-06-04 18:00:00;432;1,96;846,72
Gaze Estéril;2024-05-21 12:00:00;296;0,39;115,44
Paracetamol;2024-05-05 03:00:00;493;1,51;744,43
Dipirona;2024-06-07 18:00:00;495;1,28;633,6
Paracetamol;2024-10-29 06:00:00;472;1,47;693,84
Dipirona;2024-03-21 21:00:00;512;1,3;665,6
Gaze Estéril;2024-11-22 18:00:00;286;0,4;114,4
Máscaras N95;2024-11-28 21:00:00;312;3,83;1194,96
Seringas;2024-12-04 03:00:00;39;0,45;17,55
Soro Fisiológico;2024-05-03 12:00:00;259;2,95;764,05
Dipirona;2024-03-19 18:00:00;453;1,31;593,43
Algodão;2024-01-25 21:00:00;148;0,25;37
Luvas Cirúrgicas;2024-04-03 06:00:00;474;0,91;431,34
Dipirona;2024-04-25 18:00:00;500;1,32;660
Dipirona;2024-09-01 21:00:00;496;1,32;654,72
Seringas;2024-11-08 15:00:00;356;0,45;160,2
Luvas Cirúrgicas;2024-06-17 06:00:00;791;0,77;609,07
Álcool 70%;2024-03-03 12:00:00;294;2;588
Dipirona;2024-10-25 03:00:00;508;1,28;650,24
Máscaras N95;2024-05-17 12:00:00;321;5,04;1617,84
Seringas;2024-07-16 21:00:00;94;0,43;40,42
Algodão;2024-07-05 21:00:00;95;0,25;23,75
Dipirona;2024-07-18 12:00:00;507;1,31;664,17
Luvas Cirúrgicas;2024-09-05 09:00:00;487;0,85;413,95
Dipirona;2024-08-25 09:00:00;507;1,31;664,17
Algodão;2024-04-14 21:00:00;194;0,25;48,5
Paracetamol;2024-04-10 21:00:00;506;1,52;769,12
Dipirona;2024-05-02 09:00:00;489;1,31;640,59
Luvas Cirúrgicas;2024-11-23 15:00:00;392;0,82;321,44
Álcool 70%;2024-03-09 03:00:00;150;1,97;295,5
Adrenalina;2024-05-25 21:00:00;152;5,05;767,6
Paracetamol;2024-09-01 12:00:00;470;1,52;714,4
Soro Fisiológico;2024-08-19 15:00:00;371;3,06;1135,26
Soro Fisiológico;2024-03-10 21:00:00;350;2,99;1046,5
Seringas;2024-03-06 03:00:00;564;0,5;282
Soro Fisiológico;2024-11-23 12:00:00;476;2,98;1418,48
Álcool 70%;2024-01-27 06:00:00;64;2,04;130,56
Paracetamol;2024-10-27 06:00:00;499;1,48;738,52
Dipirona;2024-10-09 00:00:00;472;1,32;623,04
Seringas;2024-12-18 03:00:00;459;0,56;257,04
Seringas;2024-01-08 06:00:00;231;0,51;117,81
Gaze Estéril;2024-10-28 12:00:00;327;0,4;130,8
Álcool 70%;2024-08-06 18:00:00;399;2;798
Álcool 70%;2024-04-06 12:00:00;260;1,97;512,2
Soro Fisiológico;2024-07-06 09:00:00;410;3,05;1250,5
Luvas Cirúrgicas;2024-05-05 21:00:00;290;0,72;208,8
Gaze Estéril;2024-09-26 03:00:00;277;0,4;110,8
Adrenalina;2024-10-06 21:00:00;363;4,98;1807,74
Soro Fisiológico;2024-05-18 06:00:00;208;2,94;611,52
Algodão;2024-09-04 12:00:00;211;0,25;52,75
Máscaras N95;2024-04-04 09:00:00;308;4,59;1413,72
Algodão;2024-09-10 03:00:00;206;0,25;51,5
Seringas;2024-12-09 09:00:00;416;0,5;208
Seringas;2024-02-25 18:00:00;853;0,49;417,97
Gaze Estéril;2024-03-10 18:00:00;308;0,4;123,2
Algodão;2024-08-07 15:00:00;386;0,25;96,5
Adrenalina;2024-08-01 18:00:00;342;4,99;1706,58
Soro Fisiológico;2024-10-19 18:00:00;335;3,04;1018,4
Seringas;2024-01-10 21:00:00;523;0,5;261,5
Álcool 70%;2024-08-25 18:00:00;282;2,02;569,64
Dipirona;2024-11-01 00:00:00;496;1,3;644,8
Adrenalina;2024-05-14 00:00:00;240;5,03;1207,2
Soro Fisiológico;2024-04-12 09:00:00;364;3,05;1110,2
Gaze Estéril;2024-09-29 03:00:00;294;0,4;117,6
Algodão;2024-03-11 09:00:00;80;0,25;20
Soro Fisiológico;2024-01-15 15:00:00;359;3,01;1080,59
Algodão;2024-01-05 21:00:00;295;0,25;73,75
Luvas Cirúrgicas;2024-01-11 09:00:00;129;0,91;117,39
Seringas;2024-12-07 03:00:00;406;0,57;231,42
Soro Fisiológico;2024-11-06 12:00:00;353;2,97;1048,41
Gaze Estéril;2024-09-14 03:00:00;314;0,39;122,46
Algodão;2024-10-18 00:00:00;63;0,25;15,75
Adrenalina;2024-07-10 00:00:00;143;4,92;703,56
Algodão;2024-05-19 18:00:00;414;0,25;103,5
Álcool 70%;2024-08-17 00:00:00;198;1,97;390,06
Algodão;2024-02-03 15:00:00;96;0,25;24
Álcool 70%;2024-09-19 18:00:00;318;1,98;629,64
Soro Fisiológico;2024-03-25 12:00:00;268;3,01;806,68
Paracetamol;2024-11-03 18:00:00;505;1,5;757,5
Algodão;2024-06-23 12:00:00;365;0,25;91,25
Seringas;2024-09-08 12:00:00;83;0,49;40,67
Máscaras N95;2024-10-26 12:00:00;292;4,83;1410,36
Luvas Cirúrgicas;2024-06-02 18:00:00;79;0,89;70,31
Soro Fisiológico;2024-12-31 12:00:00;333;3,02;1005,66
Seringas;2024-08-14 21:00:00;78;0,51;39,78
Soro Fisiológico;2024-03-24 18:00:00;419;2,94;1231,86
Álcool 70%;2024-01-21 21:00:00;575;2,03;1167,25
Adrenalina;2024-03-22 15:00:00;358;4,95;1772,1
Máscaras N95;2024-07-23 15:00:00;306;4,77;1459,62
Álcool 70%;2024-07-06 15:00:00;143;1,99;284,57
Paracetamol;2024-03-14 15:00:00;458;1,5;687
Algodão;2024-05-25 06:00:00;403;0,25;100,75
Luvas Cirúrgicas;2024-06-27 00:00:00;668;0,86;574,48
Seringas;2024-08-26 15:00:00;376;0,5;188
Soro Fisiológico;2024-01-09 00:00:00;257;3,04;781,28
Dipirona;2024-07-31 00:00:00;537;1,32;708,84
Algodão;2024-07-17 03:00:00;216;0,25;54
Máscaras N95;2024-11-17 18:00:00;290;4,69;1360,1
Adrenalina;2024-05-03 15:00:00;464;5,08;2357,12
Luvas Cirúrgicas;2024-11-24 21:00:00;48;0,92;44,16
Máscaras N95;2024-04-15 12:00:00;270;4,4;1188
Soro Fisiológico;2024-09-15 06:00:00;200;2,98;596
Soro Fisiológico;2024-01-11 15:00:00;214;2,99;639,86
Algodão;2024-04-29 21:00:00;228;0,25;57
Soro Fisiológico;2024-03-21 00:00:00;249;2,98;742,02
